06,503
6228,1006,-507
6245,1005,-485
6261,1003,-507
6279,1002,-508
6295,999,-508
6310,996,-509
6326,994,-508
6341,994,-507
6358,993,-507
6373,992,-507
6388,991,-507
6404,987,-510
6420,980,-511
6435,975,-507
6451,974,-507
6466,973,-506
6482,972,-506
6498,970,-507
6513,969,-508
6529,966,-479
6545,963,-509
6560,961,-509
6576,959,-507
6591,958,-507
6606,958,-507
6623,958,-507
6638,957,-507
6653,957,-507
6669,955,-507
6685,953,-508
6701,948,-513
6716,942,-510
6731,939,-508
6748,938,-507
6763,938,-507
6778,937,-507
6794,936,-507
6809,935,-507
6825,932,-526
6841,929,-509
6856,926,-513
6872,924,-509
6888,922,-510
6903,921,-507
6919,920,-508
6934,916,-511
6950,909,-514
6966,903,-508
6981,900,-509
6996,896,-512
7013,892,-509
7028,889,-509
7044,886,-508
7059,884,-508
7074,881,-510
7091,874,-516
7106,869,-508
7121,868,-506
7137,866,-506
7153,865,-506
7169,862,-508
7184,860,-520
7199,856,-509
7216,853,-509
7231,852,-507
7246,851,-507
7262,851,-507
7278,849,-507
7293,848,-508
7309,844,-514
7324,835,-512
7340,831,-509
7356,829,-508
7371,825,-510
7387,820,-511
7402,816,-508
7418,814,-508
7434,812,-509
7449,807,-512
7464,800,-512
7481,798,-508
7496,796,-507
7512,795,-507
7527,794,-507
7543,793,-507
7559,792,-519
7574,789,-509
7589,787,-508
7605,783,-510
7621,782,-508
7636,781,-507
7652,780,-506
7667,780,-507
7684,778,-507
7699,776,-509
7714,770,-515
7730,764,-510
7746,762,-509
7761,760,-507
7777,759,-507
7792,757,-508
7808,755,-620
7824,752,-510
7839,749,-509
7855,747,-507
7870,746,-507
7886,746,-508
7902,744,-508
7917,740,-511
7932,734,-512
7949,729,-509
7964,728,-508
7980,726,-508
7995,725,-507
8011,724,-508
8027,722,-602
8042,719,612
8056,722,503
8071,726,501
8086,731,503
8100,735,503
8115,738,502
8129,743,509
8144,750,505
8159,754,505
8173,756,500
8187,758,500
8202,760,501
8217,765,504
8231,768,501
8246,770,500
8260,771,501
8275,775,502
8290,782,509
8304,789,502
8318,792,501
8333,794,501
8348,798,502
8363,802,503
8377,806,502
8391,807,500
8406,810,503
8421,817,507
8435,823,501
8450,826,501
8464,829,501
8479,833,503
8494,838,504
8508,840,501
8522,843,501
8537,847,506
8552,855,506
8566,861,507
8581,864,501
8595,868,503
8610,872,505
8625,876,502
8639,879,502
8653,884,505
8668,891,504
8683,894,499
8697,896,482
8712,898,501
8726,901,501
8741,904,502
8756,908,503
8770,911,500
8784,911,500
8799,913,501
8814,918,508
8828,926,506
8843,931,503
8857,935,502
8871,939,503
8887,944,502
8901,947,502
8915,950,503
8930,956,509
8945,962,504
8960,965,504
8974,966,501
8988,969,501
9003,972,501
9018,977,503
9032,980,500
9047,982,500
9061,984,501
9076,989,506
9091,998,506
9105,1002,492
9120,1006,501
9136,1011,502
9152,1016,503
9167,1019,502
9183,1021,500
9198,1023,502
9214,1023,507
9230,1023,502
9245,1023,502
9261,1023,501
9277,1023,503
9292,1023,505
9308,829,501
9322,707,501
9336,625,507
9352,0,504
9364,0,533
9376,0,502
9389,0,502
9401,0,504
9414,1,504
9426,3,503
9439,7,503
9451,13,506
9464,19,503
9479,23,500
9492,25,501
9505,27,500
9519,31,501
9532,35,502
9546,38,502
9560,41,501
9573,42,502
9586,47,508
9600,56,505
9614,61,503
9627,64,501
9640,69,504
9654,72,503
9667,76,502
9681,78,501
9695,81,508
9708,88,507
9721,93,502
9735,95,502
9749,96,499
9762,98,501
9776,101,501
9790,105,504
9804,109,500
9820,111,499
9834,112,499
9848,113,500
9863,117,504
9878,125,508
9892,130,502
9907,133,501
9921,137,501
9935,140,501
9951,145,502
9965,147,501
9979,150,501
9994,153,503
10009,159,506
10024,166,502
10040,169,502
10055,172,-608
10073,169,-501
10089,162,-513
10105,158,-508
10122,154,-509
10139,146,-513
10156,140,-508
10172,139,-506
10188,137,-506
10206,135,-507
10222,132,-508
10238,129,-508
10255,126,-509
10272,124,-507
10289,123,-507
10305,122,-506
10321,120,-507
10339,119,-508
10355,112,-514
10372,105,-509
10388,102,-507
10405,101,-506
10422,99,-507
10437,97,-516
10452,94,-509
10468,90,-509
10484,88,-507
10500,87,-507
10515,85,-507
10530,82,-511
10547,75,-513
10562,71,-509
10577,69,-509
10593,68,-508
10609,67,-507
10625,65,-506
10640,64,-509
10655,62,-509
10672,57,-512
10687,54,-509
10702,52,-508
10718,50,-508
10733,48,-511
10749,41,-514
10765,33,-509
10780,30,-508
10796,26,-512
10812,22,-510
10827,17,-509
10843,14,-509
10858,11,-509
10874,7,-512
10889,1,-511
10903,0,-507
10917,0,-506
10932,0,-505
10947,0,-505
10961,0,-506
10976,0,-506
10990,0,-507
11005,0,-506
11020,0,-507
11034,0,-508
11048,0,-517
11063,0,-509
11078,0,-510
11092,198,-508
11109,321,-508
11125,391,-507
11143,432,-513
11159,1023,-512
11176,1023,-508
11194,1023,-509
11212,1023,-497
11230,1023,-512
11247,1023,-508
11265,1023,-507
11283,1023,-509
11300,1020,-513
11318,1014,-508
11335,1011,-506
11354,1011,-506
11371,1010,-506
11388,1009,-507
11407,1008,-507
11424,1007,-507
11442,1005,-506
11459,1003,-507
11478,1000,-508
11495,997,-510
11511,995,-507
11528,994,-508
11545,993,-507
11561,992,-507
11578,990,-508
11594,985,-513
11612,978,-510
11628,975,-507
11644,973,-509
11661,972,-507
11678,970,-507
11695,969,-507
11711,967,-516
11727,964,-511
11745,961,-509
11761,959,-508
11778,958,-507
11794,957,-507
11811,957,-508
11828,957,-508
11844,954,-509
11860,949,-513
11878,941,-510
11894,940,-508
11911,938,-508
11927,937,-507
11944,936,-507
11961,934,-508
11977,932,-510
11994,929,-510
12011,925,-511
