756,-1023
5903,658,1023
5918,715,1023
5934,771,1023
5950,826,1023
5965,882,1023
5981,939,1023
5996,997,1023
6012,1023,1023
6029,4,-1023
6043,29,-1023
6059,0,-1023
6073,1023,-1023
6091,969,-1023
6108,913,-1023
6124,858,-1023
6140,803,-1023
6158,749,-1023
6174,692,-1023
6191,633,-1023
6207,574,-1023
6224,516,-1023
6241,455,-1023
6257,396,-1023
6274,338,-1023
6291,280,-1023
6307,222,-1023
6324,164,-1023
6340,105,-1023
6358,47,-1023
6373,0,-1023
6387,1023,-1023
6405,965,-1023
6422,909,-1023
6438,853,-1023
6455,797,-1023
6471,743,-1023
6489,685,-1023
6505,625,-1023
6521,564,-1023
6538,504,-1023
6555,443,-1023
6572,383,-1023
6588,323,-1023
6604,265,-1023
6622,206,-1023
6638,146,-1023
6654,87,-1023
6670,30,-1023
6686,472,-1023
6703,1003,-1023
6720,941,-1023
6736,884,-1023
6754,827,-1023
6770,771,-1023
6787,715,-1023
6803,655,-1023
6820,596,-1023
6837,536,-1023
6853,475,-1023
6870,414,-1023
6887,354,-1023
6903,296,-1023
6920,237,-1023
6936,178,-1023
6953,118,-1023
6970,59,-1023
6985,3,-1023
7000,1023,-1023
7018,978,-1023
7034,921,-1023
7051,864,-1023
7067,808,-1023
7085,753,-1023
7101,695,-1023
7117,635,-1023
7134,575,-1023
7151,515,-1023
7168,453,-1023
7184,392,-1023
7200,333,-1023
7218,274,-1023
7234,215,-1023
7250,155,-1023
7267,95,-1023
7283,40,-1023
7299,0,-1023
7313,1018,-1023
7330,957,-1023
7348,897,-1023
7364,841,-1023
7380,786,-1023
7397,729,-1023
7414,670,-1023
7431,610,-1023
7447,550,-1023
7463,490,-1023
7481,428,-1023
7497,369,-1023
7514,310,-1023
7530,252,-1023
7547,192,-1023
7564,133,-1023
7580,74,-1023
7596,17,-1023
7612,1023,-1023
7629,987,-1023
7646,930,-1023
7662,872,-1023
7680,816,-1023
7696,760,-1023
7712,703,-1023
7729,642,-1023
7746,581,-1023
7762,521,-1023
7779,459,-1023
7795,399,-1023
7813,339,-1023
7829,280,-1023
7845,220,-1023
7862,160,-1023
7879,101,-1023
7896,42,-1023
7911,0,-1023
7925,1022,-1023
7944,960,-1023
7960,901,-1023
7976,846,-1023
7993,789,-1023
8010,733,-1023
8027,675,-1023
8043,599,1023
8058,615,1023
8074,658,1023
8090,710,1023
8105,764,1023
8121,818,1023
8136,872,1023
8153,928,1023
8168,985,1023
8183,1023,1023
