

1857,409845,153
1846,174
1847,195
1848,216
1849,237
1850,258
1851,279
1852,299
1853,321
1854,343
1855,365
1856,386
1857,409845,153
1846,174
1847,195
1848,216
1849,237
1850,258
1851,279
1852,299
1853,321
1854,343
1855,365
1856,386
1857,4091,923
3,925
5,927
7,930
9,932
11,934
13,937
15,939
17,941
19,943
21,946
23,949
24,954
25,963
26,973
27,983
28,993
29,1003
30,1014
31,1023
32,1023
33,1023
34,978
35,0
36,0
37,0
38,2
39,10
40,19
41,27
43,36
44,46
45,55
46,64
47,72
48,81
49,90
50,100
51,110
52,120
53,131
54,141
55,152
56,162
57,172
58,182
59,192
60,203
61,214
62,223
63,233
64,244
65,254
66,264
67,274
68,285
69,296
70,307
71,317
72,328
73,339
74,350
75,361
76,370
77,383
78,393
79,405
80,416
81,426
82,438
83,449
84,461
86,472
87,484
88,495
89,508
90,518
91,531
92,543
93,555
94,566
95,578
96,590
97,602
98,614
99,626
100,637
101,651
102,664
103,677
104,690
105,702
106,715
107,728
108,741
109,754
110,766
111,778
112,791
113,804
114,816
115,829
116,841
117,854
118,867
119,880
120,893
121,906
122,918
123,931
124,945
125,958
126,971
128,984
129,998
130,1012
131,1023
132,1023
133,977
134,0
135,0
136,3
137,14
138,26
139,38
140,51
141,63
142,76
143,88
144,100
145,114
146,128
147,141
148,155
149,169
150,183
151,196
152,210
153,223
154,237
155,250
156,264
157,277
158,291
159,305
160,319
161,333
162,349
163,362
164,376
165,390
166,406
167,420
168,434
169,449
171,464
172,478
173,494
174,508
175,524
176,539
177,554
178,570
179,585
180,600
181,616
182,631
183,646
184,660
185,676
186,690
187,704
188,719
189,733
190,748
191,762
192,776
193,790
194,804
195,819
196,832
197,847
198,861
199,876
200,890
201,905
202,918
203,934
204,948
205,962
206,977
207,992
208,1007
209,1023
210,1023
211,968
212,0
214,0
215,8
216,19
217,33
218,46
219,60
220,73
221,88
222,101
223,116
224,131
225,146
226,162
227,176
228,191
229,207
230,222
231,236
232,251
233,266
234,281
235,296
236,311
237,326
238,343
239,358
240,373
241,388
242,405
243,421
244,437
245,452
246,468
247,485
248,501
249,518
250,534
251,550
252,567
253,584
