94,1
21776,729,686,1
21794,748,1670,621,684,1
21688,639,689,1
21705,658,689,1
21724,676,690,1
21741,693,688,1
21758,710,694,1
21776,729,686,1
21794,748,0,828,709,1
1,828,681,1
1,828,679,1
2,828,680,1
3,829,681,1
3,829,681,1
13,834,682,1
28,846,687,1
43,862,686,1
57,875,687,1
71,890,688,1
86,903,686,1
101,913,687,1
116,933,687,1
132,947,700,1
147,964,641,1
163,979,689,1
179,994,701,1
194,1012,683,1
210,1023,692,1
228,1023,684,1
244,853,687,1
260,0,688,1
273,3,687,1
286,17,689,1
302,32,687,1
316,46,689,1
330,64,689,1
345,78,698,1
360,94,650,1
374,107,687,1
390,123,693,1
405,140,686,1
421,154,690,1
437,171,684,1
452,186,684,1
467,203,631,1
483,219,688,1
499,236,687,1
515,250,688,1
530,266,694,1
545,282,686,1
562,298,693,1
577,315,685,1
592,328,686,1
608,345,630,1
624,361,688,1
640,378,691,1
655,393,683,1
670,409,691,1
686,427,686,1
702,443,687,1
717,460,688,1
733,475,688,1
748,494,638,1
764,510,696,1
780,528,691,1
795,543,685,1
811,559,692,1
827,578,689,1
842,593,689,1
858,611,632,1
873,625,684,1
889,643,687,1
905,658,688,1
920,675,690,1
935,691,684,1
951,704,684,1
967,722,689,1
983,738,692,1
998,755,701,1
1013,768,691,1
1031,786,687,1
1047,801,688,1
1063,819,692,1
1080,834,684,1
1097,850,687,1
1114,867,684,1
1130,884,687,1
1146,900,685,1
1164,913,686,1
1180,934,686,1
1197,950,691,1
1213,969,688,1
1230,983,688,1
1247,1002,627,1
1264,1020,688,1
1282,1023,688,1
1300,890,684,1
1316,0,640,1
1331,0,688,1
1345,13,688,1
1361,29,685,1
1377,44,687,1
1392,63,689,1
1408,79,692,1
1424,95,687,1
1439,110,686,1
1456,127,684,1
1472,145,686,1
1489,161,691,1
1506,178,683,1
1522,194,689,1
1539,213,690,1
1556,230,689,1
1572,246,690,1
1589,262,689,1
1605,281,685,1
1623,297,692,1
1639,315,685,1
1655,329,687,1
1672,348,691,1
1689,364,690,1
1705,383,692,1
1722,399,683,1
1738,418,629,1
1756,435,690,1
1772,454,686,1
1788,469,688,1
1805,489,692,1
1822,508,690,1
1839,526,692,1
1855,542,686,1
1871,559,691,1
1889,579,685,1
1905,595,689,1
1922,614,685,1
1938,630,688,1
1955,649,686,1
1972,666,686,1
1988,684,683,1
2004,697,904,-1
2023,688,742,-1
2040,671,694,-1
2058,653,692,-1
2075,640,690,-1
2094,622,695,-1
2111,605,694,-1
2128,588,696,-1
2146,571,690,-1
2164,557,696,-1
2182,536,694,-1
2199,521,696,-1
2216,503,695,-1
2235,488,696,-1
2252,468,697,-1
2270,449,694,-1
2288,431,693,-1
2306,417,692,-1
2323,402,695,-1
2340,382,693,-1
2359,367,696,-1
2376,349,701,-1
2394,334,694,-1
2411,315,694,-1
2429,300,704,-1
2447,283,695,-1
2464,268,702,-1
2482,251,696,-1
2500,233,693,-1
2518,216,694,-1
2535,202,694,-1
2553,187,695,-1
2571,167,695,-1
2588,153,698,-1
2606,135,694,-1
2624,120,693,-1
2641,102,695,-1
2659,87,703,-1
2675,71,697,-1
2693,57,695,-1
2709,41,696,-1
2725,22,706,-1
2742,6,696,-1
2758,0,690,-1
2774,0,691,-1
2789,1023,698,-1
2807,1023,698,-1
2827,1020,695,-1
2845,1003,693,-1
2864,988,697,-1
2881,969,700,-1
2899,955,699,-1
2917,938,693,-1
2934,923,694,-1
2953,904,697,-1
2970,888,693,-1
2988,872,697,-1
3005,857,692,-1
3023,843,696,-1
3041,823,694,-1
3058,809,695,-1
3076,793,695,-1
